Name,Meaning
Morìnádé,"==homograph==
1. I walk to have royalty.
2. I walk into royalty."
Mọ́rìnóyè,The child walks into honour.
Mọ́rìnsádé,The child walks into royalty.
Morìnsáyọ̀,I walk into joy.
Mọ́rìnsọ́lá,"1. Mọ́rìnsọ́lá: The child walks into wealth/nobility.
2. Morìnsọ́lá: I walk into wealth/nobility."
Moríre,I've seen goodness.
Moríreayọ̀,I have seen the goodness of joy.
Moríregbà,I received blessings.
Moríreolúwa,I have seen the goodness of God
Morísekọlá,I've found something to add too with my luxury.
Morísọ́lá,I've found (someone) in nobility.
Mórítìwọ̀n,"I have seen their... (their problems, success, lifestyle)"
Móríwú,One who makes another proud.
Mọ́ríyebá,The child has (many) women at his/her back.
Moríyìolúwa,I see the worth/value of God.
Moróhunfọ́lá,I have this child to flaunt as my success.
Moróhunfólú,I've found something to give to God.
Moróhunfólúwa,I have found something to give to the lord.
Moróhunmúbọ̀,A gift brought from a journey. I returned home with something special.
Morójúráyè,I've found peace and success.
Morọ́lábí,I have found wealth to birth.
Morọ́ládé,I've found wealth return.
Morọ́lágbé,I've found wealth to carry.
Morọ́lákẹ́,I have found wealth/nobility to cherish.
Morọ́láolúwa,"I have seen the blessing (or goodness, or benefit or majesty) of the Lord."
Morọ́láolúwakẹ́,I found the blessing of God (this child) to cherish.
Morọ́lápé,I have wealth to be complete.
Morọ́láún,I've found wealth (in this child) to pamper.
Morọ́láyọ̀,"I've found nobility, and I'm glad."
Morólú,I've found the lord.
Morólúwa,I've seen the lord.
Morọ́mọkẹ́,I've found a child to cherish.
Morọ̀mólúwa,I hold on to God.
Morónfáyọ̀,I've got something to rejoice on.
Morónfólú,I've found something to give to the lord.
Morónfólúwa,I've found something to give to the lord.
Morónkéjì,I've found one to be my partner.
Morónkọ́lá,"1. I have found something to add to (my) wealth. 
2. I've found something to gather (my) wealth."
Morónwùnmúbọ̀,I found what I desire to bring back.
Morótì,I wait with.
Morótiolúwa,I wait on God.
Morótitọ́,I've seen the truth.
Morótolúwa,I stand with God.
Moróundíyà,I found something to compensate for suffering.
Moróunfáyọ̀,I have something to rejoice over.
Moróunfólú,See Morónfólu.
Moróunkọ́lá,A consolidation of wealth/honour/prestige. An addition to wealth/honour.
Moróunkúnbi,I have found one to add to my kin/heritage/family.
Moróunmúbọ̀,A gift/treasure i returned with.
Moróuntódùn,I've found something sweet.
Morówódọlá,"I've seen money, become wealth(y)."
Morówópé,I've found complete money.
Mosáderin,I hide behind an elephant.
Mosádolúwa,I hide under God's refuge.
Mosádomi,I took refuge with the water/river.
Mosáfáiyé,I ran from the world.
Mosáfáyé,I ran from the world.
Mosáfẹ́jọ́,I've run from strife.
Moṣaléwá,I have been choosy about which house to get into.
Mosásáyé,I ran into the world.
Moṣebáyọ̀tán,I thought joy was over/ended.
Moṣebọ́látán,I thought honour had finished.
Moṣekọ́lá,I've added to my honour/prestige.
Moṣerere,I do well and I prosper.
Moshọpẹ́,I'm thankful.
Moshọpẹfólúwa,I am grateful for the lord.
Moshọpẹ́olú,I'm thankful for God.
Moshọpẹ́olúwa,I'm thankful for the lord.
Mosimilólú,I depend/rely on God.
Mosimilólúwa,I depend on God.
Mosinmilólu,I rely on God.
Mosinmilólúwa,I depend on God.
Moṣọbalájé,I become the king of resourcefulness.
Mosọpẹ́,I gave thanks.
Mosọpẹ́fólúwa,I gave thanks to the Lord.
Mosọpẹolúwa,I gave the thanks of the lord.
Moṣọpẹsólúwa,I give thanks to the lord.
Mosúnmádé,I'm moving towards royalty.
Mosúnmọ́lá,I have moved close to nobility.
Mosúnmóluwa,I move closer to the Lord
Móṣùró,Make the month complete.
Mọ́tànmí,Do not deceive me.
Motẹ́níọlá,I spread the mat of wealth.
Motẹríbafọ́ba,I bow to the king.
Motẹ́rígbareolúwa,I humbled myself to receive the goodness of God.
Motiaraolúwajáde,I am formed out of God’s body.
Mọ́tiléwá,One who comes from a (good) home.
Motilọ́lá,I've become wealthy.
Motiráyọ̀,I have seen joy.
Motirọ́lá,I've found wealty/nobility.
Motirọ́láolúwa,I have seen the wealth of God.
Motọ́lágbé,I'm big enough to carry wealth.
Motọ́lání,I'm great enough to have wealth.
Motóní,I'm (big) enough to have.
Motórọ́lá,I'm old/big/mature enough to see/find wealth/success.
Mọ́túndé,The child returns.
Motúnrádé,I have seen another royal one.
Motúnráyọ̀,I see joy again.
Motúnríre,I've seen goodness again.
Motúnrọ́lá,I've found success again.
Motúnrọ́lákẹ́,I've found wealth (in this child) to care for again.
Motúnyọ̀sólúwa,I rejoice again in the Lord.
Motúráyọ̀,I've seen joy again.
Mowásọ́lá,I came into nobility/success/wealth.
Mowátẹ́ní,I've come to spread the mat (of wealth).
Mowátẹ́níayọ̀,I've come to spread the mat of joy.
Moyàn,I chose.
Móyègún,Make honour be proper.
Mọ́yẹni,The child is worthy of one.
Moyin,I praise (God).
Moyinolúwa,I give glory to God.
Moyọ̀,I rejoiced.
Móyọ̀ádé,I rejoice over the crown.
Móyọ̀fádé,I rejoice for the crown.
Moyọ̀fólú,I rejoiced for the lord.
Moyọ̀sádé,I rejoice over the crown.
Moyọ̀síreolúwa,I am glad for the goodness of God.
Moyọ̀sọ́lá,I rejoice in wealth.
Moyọ̀sólúwa,I rejoiced to the lord.
Moyọ̀sọ́rẹ,I rejoiced for the gift.
Moyọ̀sọ́rẹolúwa,I rejoice in God's gift
Moyọ̀sọ́sun,Basking in the joy of Ọ̀ṣun.
Múdélé,(Someone) to take home.
Muidini,
Múléró,Uphold the family. The one who upholds the family. Shortened form of Òpómúléró.
Múmiríré,(God has) made me see goodness.
Múráínọ̀,Imran (father of Maryam in the Qur'an)
Múrewá,Bring goodness.
Múwàmádé,Adds character to royalty.
Múyìnfọ́lá,Respect wealth. Give honour to nobility. Be thankful for grace.
Múyìwá,"1. Brought this. [A shortened form of ""Olúmúyìíwá""]
2. Brought honour [A shortened form of ""Olúmúyìwá""]"
Níètí,Have hope.
Nífẹ́mi,Loves me.
Nífiṣe,Needed (by God).
Níhìnlẹwàwà,Here is where beauty resides.
Níhìnlọlá,Here is wealth.
Níhìnọlá,
Níkẹ,"Adorable, cherished. 
Short form of Adéníkẹ́, Olúníkẹ́, Ọláníkẹ́, etc"
Nínálowó,Money is for spending.
Nínílọlá,Wealth is for having.
Níníọlá,Owning wealth...
Nírètí,Have hope.
Nírètíọlá,In expectation of success.
Níyọ̀ọlá,Possess the sweetness of wealth.
Núrénì,[meaning unknown]
Ọbádárà,The king did wonders.
Ọbádáre,The king did good.
Ọbádélé,The king has got home.
Ọbáfẹ́mi,The king loves me.
Ọbaníkòró,
Ọbasá,The king fled.
Ọbásanjọ́,The king ensured good returns on one's labour/investment/efforts.
Ọbátúndé,The king has returned.
Òbémbé,
Ọdẹ́bíyí,The hunter birthed this.
Ọdẹ́bọ̀,The hunter has returned.
Ọdẹ́bọ̀wálé,The hunter has returned home.
Ọdẹbùnmi,The king gave me.
Ọdẹdèyí,The hunter became this.
Ọdẹ́dínà,The hunter blocked the way.
Ọdẹ́gbẹ̀san,The hunter revenged.
Ọdẹ́kù,Hunters remain.
Ọdẹ́táyọ̀,The hunter is worth joy.
Ọdẹ́tọ́lá,The hunter is worth wealth.
Ọdẹ́wálé,The hunter has come home.
Ọdẹ́yalé,The hunter detoured into the home.
Odińjó,
Odòjé,"River of lead. 
[Verification needed]"
Ọdòlayé,The world is a river.
Odù,The Ifa corpus.
Odùbádéjọ,The corpus is at one with the crown.
Odùbanjọ,The Ifá priesthood/corpus is in agreement with me.
Òdúbáyọ̀,The Ifá corpus met joy.
Odùbọ́nàjọ,The corpus is at one with art.
Odùgbèmí,The corpus supports me.
Ọdújìnrìn,
Odùkẹ́yẹ,The corpus carried glory.
Òdúkòmaiyà,
Odùmádé,The corpus has carried the crown.
Odùmákin,"The Ifá corpus has picked, chosen, valor (the brave one)."
Òdúmósù,The Odù (Ifá) has brought camwood ointment (for this child): Odùmósùn.
Odùnáikè,The Odù has achieved prominence.
Ọdúnewu,The year of danger.
Ọdúnjọ,The festival is successful.
Ọdúnm̀bákú,The year I would have died.
Odùsakin,The corpus shows bravery.
Odùṣọ̀tẹ̀,The Ifá corpus is not treacherous.
Odùtọ́lá,The Ifá corpus is enough for wealth.
Odùwọlé,The corpus has entered the house.
Odùwọyè,The corpus has entered honour (chieftaincy).
Odùyọyè,
Ọ̀gábí,The master gave birth to.
Ògèdèǹgbé,The nickname of a famous Ìjẹ̀shà warrior.
Ògúnadé,Another way of writing Adéògún: the crown of Ògún.
Ògúnbánjí,Ògún wakes up with me.
Ògúnbánjọ,Ògún is in agreement with me.
Ògúnbánwó,Ògún looks over him for me.
Ògúnbíyí,Ògún birthed this.
Ògúnbọwálé,Ògún returns home.
Ògúndánà,Ògún demarcated the road.
Ògúndé,Ogún walks in.
Ògúndèjì,(The children of) Ògún have doubled.
Ògúndélé,Ògún has arrived home.
Ògúndẹ̀yìn,Ògún has become my destiny.
Ògúndìmú,Ògún holds onto.
Ògúndípẹ̀,Ògún provided supplication.
Ògúndoyin,Ògún has become honey.
Ògúndòyìnbó,Ògún has become the white man.
Ògúndúyìlé,Ògún bestowed honour/prestige on.
Ogúnfùsìká,Ògún became famous all around the world.
Ògúnkólá,Ògún gathered wealth.
Ògúnkọ́ládé,Ògún gathered wealth to bring here.
Ògúnkúnlé,Ògún fills the house.
Ògúnladé,"HOMOGRAPH

1. Ògún is the crown. 2. Ogun is what we have covered our head with.

1. Ògún broke forth to come."
Ògúnlésì,Ògún has a response.
Ogúnlẹ́yẹ,Ògún has honour.
Ògúnlọ́wọ̀,Ògún has respect.
Ògúnmẹ́fun,Ògún takes up a chalk.
Ògúnmẹ́kàn,The god of iron has (picked) an offshoot/offspring.
Ogúnmodìmú,Ògún it is that I hold.
Ògúnmókùn,"Ògún has picked up a royal bead. [The full name is ""Ògúnmókùnadéró""]"
Òǵunmọlá,Ògún has gained wealth/notability.
Ògúnmúsiré,Ògún takes to play with.
Ògúnnáìkè,Ogún (or its devotees) has prominence.
Ògúnníkẹ,Ògún has adoration.
Ògúnníran,Ògún has pedigree.
Ògúnoyè,Ògún of  honour.
Ògúnrántí,Ògún remembers.
Ògúnrẹ̀mí,Ògún consoles me.
Ògúnrótìmí,Ògún waits with me.
Ògúnṣakin,Ògún makes valor.
Ògúnsanmí,Ògún paid me.
Ògúnsanwó,Ogun pays.
Ògúnsànyà,Ògún has paid for suffering.
Ògúntìmẹ́hìn,"Ògún backed me, supported me."
Ogúntókun,Ògún is big like the ocean.
Ogúntómisìn,Ògún is enough for me to worship.
Ògúntóyè,Ògún is big enough for honour/chieftaincy.
Ògúnwò́,Ògún is looking.
Ògúnwọlé,Ògún enters.
Ògúnwoolu,Ògún has entered the town.
Ògúnwùmí,Ògún attracts me.
Ògúnwùsì,Ogún has grown in reputation/prominence.
Ọ̀jẹ̀bọ̀dé,The masquerade has returned.
Ọ̀jẹ̀labí,We have given birth to a masquerade.
Ọjẹ̀lẹ́yẹ,The masquerade has respect.
Òjó,A male child who was born with his umbilical cord tied around his neck.
Ọ̀jọmọ,A child greater than others.
Òjótísà,Òjó the teacher.
Ojúọlápé,The faces of wealth are complete. Everyone who is important is now here.
Ojúróungbé,The eyes has seen something worth carrying.
Òkè,A mountain.
Òkèdìji,The mountains have become a shade.
Okédòkun,The mountain has become an ocean.
Ọkẹ́owó,"Tonnes of money, sacks of money."
Òkéṣípẹ̀,The hills paid recompense.
Òkètáòlegùn,A mountain/hill so high that we can't climb it.
Ọkọ́ya,The hoe broke.
Òkúbọtẹ̀,
Okunlọlá,Health is wealth.
Okùnọlá,The rope of wealth.
Okùpè,The god of wealth called.
Okùsànyà,The god of wealth paid for (my) suffering.
Okutapelepe,
Ọlábánjọ,Wealth is at one with me.
Ọlábímtán,"1. Wealth gave birth to me whole.
2. Wealth recently gave birth to me."
Ọlábọ̀dé,Wealth has come back.
Ọládàpọ̀,"Wealth has been added, mixed up."
Ọládèbó,Wealth has become the white man.
Ọládépò,Wealth has arrived in position.
Ọládìgbòlù,Wealth has collapsed on me.
Oládiípọ̀,Wealth has become many.
Ọládiméjì,Affluence has become doubled.
Ọládípẹ̀,
Ọládipúpọ̀,Wealth has become many.
Ọládìran,Wealth has become hereditary.
Oládìtàn,(Our) wealth/success has become notable enough to be told as history.
Ọládìtí,
Ọládọjà,Wealth has become the market. Wealth/success has become something to be shared with everyone.
Oládoṣù,Wealth has come of age.
Oládọ̀tun,Wealth is renewed.
Ọládoyin,Wealth has become honey.
Ọládòyìnbó,Wealth has become the white man.
Ọládùnjoyè,Wealth is sweeter than chieftaincy.
Ọládùnní,Wealth is sweet to have.
Ọládùntóyè,Wealth is as sweet as chieftaincy.
Ọláfimíhàn,Wealth has shown me out.
Ọláfúnkẹ,Wealth gave me to pet.
Ọlágadé,Wealth has climbed the crown.
Ọlágbàmí,Nobility saved me.
Ọlágbẹgi,[unknown]
Ọlágùndoye,
Ọlágúnjú,Success/wealth is straightforward.
Ọláifá,The wealth of ifá. The benefit of Ifá. By the grace of Ifá
Ọláìtán,Nobility never finishes.
Ọláìyá,The advantage of mother(hood). The wealth of mother.
Ọlájubù,Nobility can not be broken.
Ọlájùmọ̀kẹ́,(Child of) Wealth that everyone cherishes. Nobility jointly cherishes this (child).
Ọlájùyítán,Wealth surpasses this completely.
Ọlákẹ́rù,Nobility gathered belongings.
Ọlákúnbi,Dignity has improved the family's good name and image.
Ọlákúnlé,Wealth fills the house.
Ọlálékan,(My) wealth has increased by one.
Ọlálérè,Wealth has rewards.
Ọlálẹ́yẹ,Wealth/Success/Nobility has honour.
Ọlálọmí,
Ọlámáyọ̀wá,Wealth brings joy.
Ọlámidé,My wealth has come.
Ọlámijí,My nobility has risen.
Ọlámipọ̀,My wealth is plenty.
Ọlánasẹ̀,Wealth has stretched its legs.
Ọláníkẹ́,Wealth has/needs doting.
Olánipẹ̀kun,Nobility/Success/Wealth has no limitation.
Olaníyì,Wealth has worth.
Olánsílé,Wealth celebrates a new house.
Ọlánúsì,
Ọláòkun,The benefit/advantage of the ocean. The wealth of the ocean. The advantage of (the god) of the ocean/travel.
Ọláolú,"The wealth of God.
The benefit of God"
Ọláolúwa,"1. The grace/benefit of God.
2. The wealth of God."
Ọláolúwakìítán,The wealth of god never finishes.
Oláòtán,Wealth is not finished.
Ọláoyè,"1. The benefit of honour/chieftaincy.
2. The success that came from a title."
Ọlápàdé,Nobility (from two houses) meets.
Ọlápọ̀si,(My) wealth is increasing.
Ọlárìndé,Wealth has walked in.
Ọlárìnlọ,Wealth has walked away.
Ọlárótìmí,"Success waits with me, stays with me."
Olásanmí,Wealth rewarded me.
Ọlásehàn,
Olásọmójú,
Ọlásopé,Wealth brought forth sufficient seeds.
Ọláṣùbòmí,Wealth gathers around me.
Ọlátẹrù,Wealth equals awe.
Olátóní,Wealth is worth having.
Ọlátóyè,Wealth is worth honor/chieftaincy.
Ọlátúbọ̀sún,Wealth continues to expand.
Ọlátúndé,Success/notability has returned.
Olátúndùn,Wealth is sweet again.
Ọlátúnjí,"Nobility/wealth has resurrected, has returned and becomes stronger, is reasserted."
Ọláwálé,Prosperity came home.
Oláwándé,Wealth has pursued me to this place.
Ọláwọlé,Success has entered the home.
Ọláwóore,Success draws goodness.
Oláwọyin,Success has entered into sweetness.
Ọláwùnmí,Wealth attracts me. I'm desirous of success.
Ọláwùsì,Nobility is notable.
Oláwuyì,Wealth is desirable.
Ọláyẹbí,Wealth fits the family.
Ọláyẹmí,I'm deserving of success/wealth/nobility.
Oláyínká,Affluence surrounds me.
Ọláyíwọlá,Honour tumbles into more honour.
Olíkóyè,
Ọlọ́fin,
Ọlọ́finlúà,The (child of) Ọlọ́fin has character. [verification needed]
Ọlọ́jẹdé,The owner of the masquerade has arrived.
Ọlọ́kọ̀,The bearer of spears.
Ọlọ́ládé,The wealthy one has arrived. The bearer of wealth has arrived.
Ọlọ́mọdosi,
Ọlọ́pàdé,The devotees of the Ọ̀pá deity have arrived.
Ọlọ́runfẹ́mi,God loves me.
Olórunsuyì,The lord makes honour.
Ọlọ́runyọmí,The lord saved me.
Ọlọ́wẹ,"1. A helper. One who helps or supervises others who help in the implementation of duties. 

2. Someone who has a large number of people at his beck and call whom he can call upon to assist him any time in his farm or other work.

See extra information below."
Olówòfóyèkù,The rich does not lack more titles (as an addition to his wealth).
Olówóòkéré,The rich isn't insignificant.
Olówóyè,The rich survives.
Olówu,The owner of Owu.
Olóyè,Chief.
Olóyèdé,The chief has arrived.
Olú,"1. The head.
2. The prominent one.
3. The lord.
4. God (olúwa)
5. The hero/champion"
Olúbádé,The lord met the crown.
Olúbánjí,The lord woke with me.
Olúbánjọ,The lord is at one with me.
Olúbánkẹ́,The lord helps me care for this.
Olúbí,"1. The lord's birthed.
2. The prominent one birthed."
Olúbọ́rọ̀dé,Prominence came with wealth.
Olúbùkọ̀lá,The lord has added to wealth.
Olúbùnmọ̀,
Olúdé,The head has come.
Olúdìmú,The lord holds.
Olúdọlápọ̀,The lord adds to wealth.
Olúdọ̀tun,Prominence is renewed.
Olúfẹlá,"1. The lord expands wealth.
2. The master luxuriates."
Olúfẹ́mi,The lord loves me.
Olúfowóbí,The prominent one gave birth to this with money.
Olúfúnkẹ,The lord gave me to care for.
Olúfúnṣọ́,God has given me to watch over.
Olúgadé,The leader has ascended into royalty.
Olúgbadé,The hero is crowned. The hero is given royalty.
Olúgbémiró,The lord is held me upright.
Olúgbénga,The lord lifts me up. The prominent one lifted me up.
Olúkáyọ̀dé,The lord gathered and brought joy to us.
Olúkojú,(Faces of) leaders have met.
Olúkọ́ládé,The lord has gathered and brought wealth to us.
Olúkọlé,The lord builds a house.
Olúkóyè,The lord gathers honour.
Olúlẹ́yẹ,The lord has honour.
Olúmáyọ̀wá,The lord has brought joy to us.
Olúmidé,"My lord has come.
My hero has come."
Olúmodìmú,The lord it is that I hold onto.
Olúmúyìwá,The lord has brought this.
Olúòkun,The lord of the ocean.
Olúoyè,The lord of honour.
Olúpohùndà,"1. The head/lord has changed his voice.
2. The head/lord has not changed his voice."
Olúpọ̀nà,The head started on a journey.
Olúránkinṣẹ́,God sends a brave person on a mission.
Olúránti,The lord remembers.
Olúrẹ̀mí,The lord consoles me.
Olúrótìmí,The lord is standing with me.
Olúsanmí,The lord rewards me.
Olúṣẹ́gun,The lord conquers. The prominent one triumphs.
Olúṣesí,The lord does more.
Olúṣèyí,The lord has done this.
Olúṣọlá,The lord makes wealth.
Olúṣùbòmí,Glory/Prominence surrounds me.
Olútóyè,The lord is worth the honour. The head is worth a title.
Olúwadámilọlá,The lord has made me wealthy.
Olúwáfẹ́mi,The lord loves me.
Olúwafọláhànmí,The lord has shown me wealth.
Olúwafunmibí,The lord gave me to birth.
Olúwálé,The lord has come home.
Olúwalóní,The lord owns this.
Olúwamọ́láwá,The lord has brought wealth.
Olúwándé,The prominent one has sought and found me.
Olúwanífẹ́mi,The lord loves me.
Olúwapamilẹ́rin,The lord has made me laugh.
Olúwapẹlúmi,The lord is with me.
Olúwaṣẹ́gun,The lord conquers.
Olúwátóbilọ́ba,The lord is great a king.
Olúwatófaratì,The lord is worth depending on.
Olúwatómisìn,The lord is sufficient for me to worship.
Olúwatóní,The lord is worth having. The lord is our sufficiency. The lord is sufficient.
Olúwatosìn,The lord is worth worshipping.
Olúwọlé,The prominent one enters (the house).
Olúwùsì,Prominence has increased.
Olúyẹ̀lú,
Olúyẹmí,The lord is worthy of me.
Ọmáwùmí,
Omídire,Water has turned to good.
Omíreni,Water is attractive to me.
Omíṣadé,The waters have made the crown.
Omíṣore,Water has done good deeds.
Omíwọlé,Water has entered the house.
Ọmọboríowó,The child is more valuable than money.
Ọmọ́dára,"1. The child is good (Ọmọ́dára).
2. The child creates wonders/The child is wonderful. (Ọmọ́dárà)"
Ọmọ́ga,The child is tall.
Ọmọ́gẹ,
Ọmọ́jolá,The child is more than wealth.
Ọmọ́juwà,The child is our legacy. The child won't let our legacy go to waste.
Ọmọladé,The child is the crown.
Ọmọlafẹ́,The child is the fancy.
Ọmọ́làlé,
Ọmọlará,The child is kin.
Ọmọlayọ̀,The child is joy.
Ọmọ́le,The child is hard.
Ọmọlèrè,The child is the reward.
Ọmọlọlá,The child is wealth.
Ọmọlolú,The child is the leader.
Ọmọníkẹ̀́,The child has care.
Ọmọniyì,"1. The child is honour. (Ọmọniyì)
2. The child has honour/worth/value. (Ọmọ́níyì)"
Ọmọ́remí,The child attracts me.
Ọmọ́reni,The child attracts one.
Ọmọṣọlá,The child makes wealth.
Ọmọ́tọ́ṣọ̀,The child is worth ornaments.
Ọmọ́túndé,The child has returned.
Ọmọ́túndùn,The child is sweet again.
Ọmọ́wùnmí,I'm desirous of a child.
Ọnàbámiró,Ornaments have stood with me.
Ọnàbánjọ,Ornamental work (as a profession) is agreeable to me.
Ọnàdélé,Ornaments have returned home.
Ọnàdípẹ̀,Artistry replaced loss.
Ọnàfuwà,
Onàgorúwà,Artistry mounted upon character.
Onàkọyà,Ornaments have rejected suffering.
Ọnàlàjà,Artistry has settled the fight.
Ọ̀nàọlápọ̀,The ways of wealth are many.
Onàwùnmí,Ornaments are attractive to me.
Onífádé,The Ifá Priest has come.
Onígbìndé,The bearer of the Igbin has come.
Oníkẹ́kù,"1. There remains people to care (for me).
2. Someone with enough care to smother another to death. (Oníkẹ̀ẹ́kú)
2a. One's carer died."
Oníkòyí,
Onírù,
Ọ̀pádèjì,The ọ̀pá has become two.
Ọ̀pálẹ́yẹ,The ọ̀pá has honour.
Ọpẹ́mipọ̀,My thankfulness is plenty.
Ọrẹ́móṣù,The Ọrẹ̀ has lived long.
Oreọ̀fẹ́,Grace.
Oreọ̀fẹ́olúwa,The grace of God.
Ọrẹolúwa,God's offering.
Ọ̀rẹ́ṣadé,Friends are equal to the crown. Friendship makes royalty.
Ọrẹ́sajò,
Ọ̀rẹ́suyì,
Orídọ̀ta,
Orífowómọ̀,The head pampers (this child) with money.
Oríloyè,The head is the honour (chieftaincy).
Orímọládé,The head (only) knows who will be crowned king.
Oríniowó,The head is money.
Oríyọmí,The head saved me.
Òsénì,
Ọshìn,"The Ìjẹ̀bú god of wisdom, iron, and warfare."
Ọṣìkọ̀yà,The king (who) defends his subjects from suffering.
Ọ̀ṣínbàjò,The king has returned from a journey.
Òsínjolú,
Ọ̀sínlọ́wọ̀,The king has honour.
Ọ̀sínúbi,
Ọ̀ṣọ́fisan,Adornment/Artistry paid with this (child).
Oṣónẹyìn,
Òsoògùn,
Oṣóyẹmí,"1. The sorcerer is worthy of me.
2. Òrìshàokó suits me."
Ọ̀sundáre,1. Ọ̀sun is justified.
Ọsunjẹ́nrọ́lá,Ọ̀sun lets me see wealth.
Ọ̀ṣúnkójọ,Ọ̀sun gathers.
Ọ̀súnnúgà,Ọ̀ṣun has prominence.
Ọ̀suntókun,Ọ̀sun is as big as the ocean.
Ọ̀sunyọmádé,
Oṣùọlálé,The season of glory has arrived.
Ọ̀tẹ̀múyìwá,Opposition has brought this.
Òtítọ́jù,Truth is most paramount.
Otùdẹ́kọ́,The head becomes knowledge.
Otùnáíyà,The (child of) the Òṣùgbó secret society is brave.
Owóadépọ̀,The money of the crown is plenteous.
Owólabí,We've given birth to money.
Owómóyèlá,
Owóyẹlé,The house deserves the money.
Oyèbádé,Honour has met the crown.
Oyèbámijí,Honour wakes up with me.
Oyèbánjí,Honour/Chieftaincy woke up with me.
Oyèbánjọ,Honour is at one with me.
Oyèbọ̀wálé,Honour has come back home.
Oyèdejì,Honour has become doubled.
Oyèdélé,Honour has come home.
Oyèdépò,Honour and leadership reinstated.
Oyèdìjí,
Oyèdípẹ̀,
Oyèdọlápọ,Honour added wealth together.
Oyèdọ̀tun,Honour is renewed.
Oyèdoyin,
Oyèfólú,
Oyèfúnkẹ́,Honour gave me to take care of.
Oyègún,Honour is proper.
Oyèkàn,Honour is next.
Oyèkọ́lé,Honour (or Title) builds house.
Oyèlàdé,The crown is honour.
Oyèlámì,Honour has (left) a mark.
Oyèlékè,Honour triumphs.
Oyèlẹ́sẹ,Royalty has rank (stages).
Oyèlọ́wọ̀,Honour/title begat respect.
Oyèmáyọ̀wá,Honour has brought joy.
Oyèmẹkùn,
Oyènámẹ̀,Honour has (left) a mark.
Oyèníkẹ́,Honour has care.
Oyènúsì,Honour is renowned.
Oyeranti,Honour remembers.
Oyèrẹ̀mí,Honour consoles me.
Oyèrìndé,Honour walks in.
Oyèró,
Oyèrónkẹ́,(The family of) Honour has found someone to care for.
Oyèrótìmí,Honour stays with me.
Oyèsanmí,Honour rewards me.
Oyèsànyà,Honour rewards suffering.
Oyèsọmóju,
Oyèṣùbòmí,Honour surrounds me.
Oyètádé,Honour is enough for a crown.
Oyètìmẹ̀in,
Oyètìmẹyìn,
Oyètọ̀mídé,Honour comes to me.
Oyètọ̀míwá,Honour omes to me.
Oyètúndé,Honour has returned.
Oyètúnjí,Honour has resurrected.
Oyèwálé,Honour has come home.
Oyèwándé,Honour has sought me out.
Oyèwọlé,Honour has entered the house.
Òyéwọyin,Honour has entered sweetness.
Oyèwùnmí,Honour attracts me.
Oyèwùsì,The title gains reputation.
Oyèyẹmí,Honour is deserving of me. Chieftaincy/Title/kingship befits  me.
Oyèyínká,Honour surrounds me.
Oyinadé,The sweetness of the crown.
Oyíndàmọ́lá,Sweetness is added to affluence.
Oyíndàsọ́lá,Sweetness added to wealth.
Oyínkánsọ́lá,Sweetness is dropped into wealth.
Oyinladé,The crown is sweet.
Oyinlọlá,Wealth is honey.
Oyinlolú,The head is honey.
Oyinloyè,Honour is sweet.
Ọyátẹ́rù,Ọya inspires awe.
Omítẹrù,Water (River Ọ̀ṣun) is worth being revered.
Olúkúewu,The hero be praised for escaping danger.
Ọláyọ̀ọ́nú,One with joy inside/Joy hides inside.
Olówùdé,
Oláyọdé,Wealth/Influence came unannounced.
Ọbẹ̀làwọ̀,The skin is (fresh or beautiful like) soup.
Òsanyìntọ́lá,Òsanyìn is enough for wealth.
Oyèdé,Chieftaincy/Honour has come.
Olúwátimíléhìn,God has my back.
Ọmọ́bọ̀wálé,(The) child has returned home
Ọ̀tọkìtí,"1. One who jumps around in an elusive manner.
2. A person fond of somersaulting."
Olúwakẹ́mi,The lord pets/takes care of me.
Ọlọ́gbẹ́nlá,One with a big sore.
Olúwatóbi,"The lord is great, mighty."
Olúsọjí,The lord has arisen.
Ọlámipọ̀si,My wealth has Increased.
Ògúndiwin,Ògún has become a forest spirit.
Ọbalolúwa,The lord is king.
Odùgbẹ̀san,Odù got its revenge.
Oríogun,The head of war.
Olúwasèyífúnmi,The lord did this one for me.
Olaguro,[unknown]
Ọládehìn,"Wealth becomes a thing of the past. 

[verification needed]"
Ọládẹ̀ìndé,Wealth returns in the end.
Ọládẹ̀yìn,"Wealth becomes a thing of the past.

[verification needed]"
Ògúnsowóbọ̀,"Ògún makes money. 

[verification needed]"
Olájésù,Wealth of Jesus.
Olúwarótìmí,The lord stays with me.
Ọ̀jẹ̀túndé,The masquerade has returned.
Olúbejidé,The lord came with the rain.
Ọ̀sunníyì,Ọ̀sun is respectable.
Oyinlọmọ,The child is honey (sweet).
Oyinni,This is honey (sweet).
Ọbásọlá,The king bestows wealth/success.
Ọ̀súnjayé,Ọ̀sun enjoys life.
Ọ̀súnjaiyé,Ọ̀sun enjoys life.
Ọmọrìnsọ́lá,The child walks serendipitously into wealth.
Ọmọ́tárá,The child is worth (many) relatives.
Ọmọ́tẹ́níọlá,The child lays the mat of wealth. Shortened form: Ọmọ́tẹ́ní.
Ọmọ́tẹ́ní,"The child lays the mat (of wealth). 
An abridged form of Ọmọ́tẹ́níọlá."
Ọmọ́bọ́redé,Child comes with kindness/gifts.
Olúṣọ̀gá,"1. God is the master.
2. God makes masters."
